Pair Output
***************
(10, 12)	0.5
(10, 34)	0.5
(12, 10)	0.125
(12, 18)	0.0625
(12, 34)	0.375
(12, 56)	0.1875
(12, 79)	0.0625
(12, 92)	0.1875
(18, 12)	0.25
(18, 29)	0.125
(18, 34)	0.25
(18, 56)	0.125
(18, 79)	0.125
(18, 92)	0.125
(29, 10)	0.09090909090909091
(29, 12)	0.2727272727272727
(29, 18)	0.045454545454545456
(29, 34)	0.2727272727272727
(29, 56)	0.13636363636363635
(29, 79)	0.045454545454545456
(29, 92)	0.13636363636363635
(34, 10)	0.10526315789473684
(34, 12)	0.2631578947368421
(34, 18)	0.05263157894736842
(34, 29)	0.10526315789473684
(34, 56)	0.2631578947368421
(34, 79)	0.05263157894736842
(34, 92)	0.15789473684210525
(56, 10)	0.11764705882352941
(56, 12)	0.29411764705882354
(56, 29)	0.11764705882352941
(56, 34)	0.29411764705882354
(56, 92)	0.17647058823529413
(79, 12)	0.2
(79, 18)	0.2
(79, 34)	0.2
(79, 56)	0.2
(79, 92)	0.2
(92, 10)	0.3333333333333333
(92, 12)	0.3333333333333333
(92, 34)	0.3333333333333333
